Item,Dev Checked,Comments,Stage,Short Description,Section (if/a),Data Example,Legitimacy Analysis,Accountability Metric,ItemWeight,Project Item?,Web3-Accountability Metric,Extra Transparency Points,Sub-Criteria (TBD),Sub-Item of,v0.5+: Web3 Points
Org. Structure +,true,,"OpenAlpha (v0.3),v0.1-v0.2 (DONE),v0.4  (API required)","The organization or group responsible for initiating, maintaining, and developing the project.","Sidebar (Essential Items),Organizatio","option list [For-Profit Company, Non-Profit Organization / Association, Foundation, Cooperative, DAO, Federated DAO / SubDAO, Project within a DAO, Anonymous Collective, Sole Developer, University / Academic-Led Initiative, Public-Private Partnership, Community-Led Initiative (no legal entity), Hybrid Structure (e.g. Company + DAO), Evolving Structure]",by process - participation,"Transparency,Participation",30.0,Project Page,N/A,,Project Disclosure (Trans),,
Adoption Plan,true,,OpenAlpha (v0.3),The Project's go-to-market planning and focus on usability values.,Overview,Text Box,N/A,"Participation,Performance Eval,Transparency",20.0,Project Page,N/A,,"Internal Stakeholders (Parti),Community Participation Rating (Eval),Project Development",Roadmap Timeline +,
Advisors,true,,OpenAlpha (v0.3),who are the official advisors,"Organizatio,Sub-Team Details","Table [Name: Plain text , Title: Plan text , Address: Public Address No || Social Identifier, ActiveBool]",Community acceptance - sentiment,"Participation,Transparency",30.0,Project Page,N/A,,"External Stakeholder (Parti),Endorses (Sentiment)",,
Token Type (Token) +,true,,OpenAlpha (v0.3),"The token type is fundamental to understand a Project's spectrum, from financial viability to community engagement and impact status.","Token ,Financials","option list [Access Token, Governance Token, Store of Value / Currency Token, Incentive / Reward Token, Identity / Reputation Token, Asset-Backed Token, NFT (Non-Fungible Token), Hybrid / Multi-Role Token",N/A,"Participation,Transparency",20.0,"Project Page,Campaign Tab",N/A,,"Project Disclosure (Trans),Token",Token Profile (sub-section)(Section name),
Contributors (what is this one different from other team items),true,,OpenAlpha (v0.3),"an employee, researcher, assistant, project participant, a person contributing to the emergence, an author is a person who performs his activities as part of some larger project.","Organizatio,Sub-Team Details",,N/A,"Participation,Transparency",20.0,Project Page,N/A,,"External Stakeholder (Parti),Internal Stakeholders (Parti)",,
"Contributors + (present/past)(table w: name, address, social identifiers - either or)) (starting date)",true,,OpenAlpha (v0.3),List contributors as those who contribute to a project in varying capacity however are not part of the project’s core team.,Organizatio,"Table[Name: plain text | Role: Plain Text | Address: public address || social identifier] ","by process - participation,by continuity - performance/resilience","Participation,Transparency",40.0,Project Page,N/A,,"Internal Stakeholders (Parti),Core contributors (Trans)","OSS + ",
Audit Status + [DUPLICATE?],false,seems duplicated?,OpenAlpha (v0.3),This shows if a project at any level has been audited. Below will include the details of their audits.,"Sidebar (Essential Items),Techincals","Yes (+ Long Text) /No ",by process - participation,Transparency,30.0,"Project Page,Campaign Tab",Security,,"Governance tooling (Parti),In Code We Trust (Trans)",Project Overview (Section Title),
Endorsers,true,,OpenAlpha (v0.3),someone who expresses strong approval,"Financials,Sub-Endorsers","Table [Name, Social Identifier, Ref]",Community acceptance - sentiment,"Transparency,Participation",30.0,Project Page,N/A,,"External Stakeholder (Parti),Endorses (Sentiment)",,
Constitution +,true,,OpenAlpha (v0.3),Is there a constitution (or something close) of this project/org,Governance,text / URL,by process - participation,Participation,20.0,Project Page,N/A,,"Internal Stakeholders (Parti),Governance scope (Parti)",,
"Milestone Type (in Milestone) ",true,,OpenAlpha (v0.3),1. Project approval.2. Completing critical tasks.3. Reaching project goals and objectives.4. Project completion.etc. ,"Overview,Sub-Roadmap",option list / single-line-text,"""by performance & impact (in Main Accountability framework, need a important sub emphasis)""","Transparency,Performance Eval",30.0,Project Page,N/A,,"Performance (Eval),Project Disclosure (Trans)","Roadmap (Sub-section Title) (Section name),Roadmap Timeline +,""Milestone + (achieved or not, an entry in roadmap)""",
